,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,CALIFORNIA,MOLLUSKS **,"38,720",18,"68,632",Public,Commercial,Mollusca,69458,PACFIN
2024,CALIFORNIA,MOLLUSKS **,,,,Confidential,Commercial,Mollusca,69458,PACFIN
2024,CALIFORNIA,OCTOPUSES **,"1,324",1,"1,800",Public,Commercial,Octopodidae,82590,PACFIN
2024,CALIFORNIA,"OYSTER, PACIFIC",,,,Confidential,Commercial,Crassostrea gigas,79868,PACFIN
2024,CALIFORNIA,"PRICKLEBACK, MONKEYFACE",233,0,"2,440",Public,Commercial,Cebidichthys violaceus,171618,PACFIN
2024,CALIFORNIA,QUEENFISH,,,,Confidential,Commercial,Seriphus politus,169362,PACFIN
2024,CALIFORNIA,"RATFISH, SPOTTED",787,0,11,Public,Commercial,Hydrolagus colliei,161015,PACFIN
2024,CALIFORNIA,"ROCKFISH, AURORA","2,730",1,"3,950",Public,Commercial,Sebastes aurora,166709,PACFIN
2024,CALIFORNIA,"ROCKFISH, BANK","84,694",38,"104,261",Public,Commercial,Sebastes rufus,166761,PACFIN
2024,CALIFORNIA,"ROCKFISH, BLACK","64,328",29,"158,918",Public,Commercial,Sebastes melanops,166727,PACFIN
2024,CALIFORNIA,"ROCKFISH, BLACK-AND-YELLOW","29,200",13,"261,615",Public,Commercial,Sebastes chrysomelas,166773,PACFIN
2024,CALIFORNIA,"ROCKFISH, BLACKGILL","119,160",54,"234,816",Public,Commercial,Sebastes melanostomus,166728,PACFIN
2024,CALIFORNIA,"ROCKFISH, BLUE","20,677",9,"63,394",Public,Commercial,Sebastes mystinus,166730,PACFIN
2024,CALIFORNIA,"ROCKFISH, BOCACCIO","1,541,722",699,"936,518",Public,Commercial,Sebastes paucispinis,166733,PACFIN
2024,CALIFORNIA,"ROCKFISH, BROWN","45,321",21,"340,003",Public,Commercial,Sebastes auriculatus,166708,PACFIN
2024,CALIFORNIA,"ROCKFISH, CALICO",,,,Confidential,Commercial,Sebastes dallii,644576,PACFIN
2024,CALIFORNIA,"ROCKFISH, CANARY","291,782",132,"240,921",Public,Commercial,Sebastes pinniger,166734,PACFIN
2024,CALIFORNIA,"ROCKFISH, CHILIPEPPER","2,215,801","1,005","1,418,209",Public,Commercial,Sebastes goodei,166722,PACFIN
2024,CALIFORNIA,"ROCKFISH, CHINA","4,905",2,"43,700",Public,Commercial,Sebastes nebulosus,166731,PACFIN
2024,CALIFORNIA,"ROCKFISH, COPPER","3,571",2,"23,532",Public,Commercial,Sebastes caurinus,166713,PACFIN
2024,CALIFORNIA,"ROCKFISH, COWCOD","6,872",3,"3,009",Public,Commercial,Sebastes levis,166754,PACFIN
2024,CALIFORNIA,"ROCKFISH, DARKBLOTCHED","22,934",10,"14,567",Public,Commercial,Sebastes crameri,166715,PACFIN
2024,CALIFORNIA,"ROCKFISH, FLAG",459,0,"1,371",Public,Commercial,Sebastes rubrivinctus,166760,PACFIN
2024,CALIFORNIA,"ROCKFISH, GOPHER","57,459",26,"512,137",Public,Commercial,Sebastes carnatus,166767,PACFIN
2024,CALIFORNIA,"ROCKFISH, GRASS","14,946",7,"169,806",Public,Commercial,Sebastes rastrelliger,166759,PACFIN
2024,CALIFORNIA,"ROCKFISH, GREENBLOTCHED",985,0,"2,244",Public,Commercial,Sebastes rosenblatti,166771,PACFIN
2024,CALIFORNIA,"ROCKFISH, GREENSPOTTED","26,311",12,"63,136",Public,Commercial,Sebastes chlorostictus,166748,PACFIN
2024,CALIFORNIA,"ROCKFISH, GREENSTRIPED","6,510",3,"2,958",Public,Commercial,Sebastes elongatus,166717,PACFIN
2024,CALIFORNIA,"ROCKFISH, HONEYCOMB",269,0,929,Public,Commercial,Sebastes umbrosus,166765,PACFIN
2024,CALIFORNIA,"ROCKFISH, KELP","1,503",1,"7,832",Public,Commercial,Sebastes atrovirens,166747,PACFIN
2024,CALIFORNIA,"ROCKFISH, MEXICAN","15,919",7,"50,890",Public,Commercial,Sebastes macdonaldi,166755,PACFIN
2024,CALIFORNIA,"ROCKFISH, OLIVE","3,208",1,"11,560",Public,Commercial,Sebastes serranoides,166763,PACFIN
2024,CALIFORNIA,"ROCKFISH, PACIFIC OCEAN PERCH",,,,Confidential,Commercial,Sebastes alutus,166707,PACFIN
2024,CALIFORNIA,"ROCKFISH, PINK",,,,Confidential,Commercial,Sebastes eos,166751,PACFIN
2024,CALIFORNIA,"ROCKFISH, PINKROSE",24,0,86,Public,Commercial,Sebastes simulator,166770,PACFIN
2024,CALIFORNIA,"ROCKFISH, QUILLBACK",,,,Confidential,Commercial,Sebastes maliger,166726,PACFIN
2024,CALIFORNIA,"ROCKFISH, REDBANDED","21,622",10,"30,494",Public,Commercial,Sebastes babcocki,166710,PACFIN
